model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,2018,40811,42700,"Rockville, MD",75D All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Silver Slipstream Wheels",$633 /mo,93311,Cream Premium Interior,MD
Model S,2018,31239,42900,"Savannah, GA",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Silver Slipstream Wheels",$637 /mo,93311,Black Premium Interior,GA
Model S,2018,31240,44100,"Franklin, TN",100D Long Range All-Wheel Drive,Enhanced Autopilot,Previously Repaired,Midnight Silver Metallic Paint,"19"" Silver Slipstream Wheels",$658 /mo,93311,All Black Premium Interior,TN
Model S,2018,66754,45000,"Rogers, MN",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"19"" Silver Slipstream Wheels",$674 /mo,93311,All Black Premium Interior,MN
Model S,2018,26886,47500,"Available to view in Vienna, VA",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$719 /mo,93311,All Black Premium Interior,VA
Model S,2018,48618,48800,"Orlando, FL",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Arachnid Wheel",$743 /mo,93311,All Black Premium Interior,FL
Model S,2018,46081,53000,"BOSTON, MA",100D Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$818 /mo,93311,Cream Premium Interior,MA
Model S,2018,36438,53300,"Colma, CA",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$824 /mo,93311,Cream Premium Interior,CA
Model S,2018,30180,59200,"Colma, CA",100D Long Range All-Wheel Drive,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$930 /mo,93311,Black Premium Interior,CA
Model S,2018,36438,53300,"Colma, CA",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$824 /mo,95403,Cream Premium Interior,CA
Model S,2018,30180,59200,"Colma, CA",100D Long Range All-Wheel Drive,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$930 /mo,95403,Black Premium Interior,CA
Model S,,63298,40400,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
